event_type,event_name,start_time,end_time,prefix,hijacked_prefix,hijack_as,vicitim_as,outage_as,leak_as,info
leak,leak-20041224-TTNet_in_Turkey_leak,2004/12/24 9:20,2004/12/24 10:47,,,,,,9121,https://web.archive.org/web/20080228131639/http:/www.renesys.com/blog/2005/12/internetwide_nearcatastrophela.shtml
hijack,hijack-20050507-Google_hijack,2005/5/7 14:30,2005/5/7 16:15,64.233.161.0/24,64.233.161.0/24,174,,,,https://www.ccsl.carleton.ca/paper-archive/twan-ssn-06.pdf
hijack,hijack-20080224-Pakistan_Telecom_hijacked_YouTube,2008/2/24 18:00,2008/2/24 22:00,208.65.152.0/22,208.65.153.0/24,17557,36561,,,https://dyn.com/blog/pakistan-hijacks-youtube-1/
hijack,hijack-20080810-Pilosoft_hijacked_Sparkplug_Las_Vegas,2008/8/10 19:30,2008/8/10 20:00,24.120.56.0/22,24.120.56.0/24,26627,20195,,,https://dyn.com/blog/stealing-the-internet-back-1/
hijack,hijack-20110114-Indonesian_Indosat_hijack2011,2011/1/14 12:19,2011/1/14 12:57,,,4761,,,,https://www.bgpmon.net/hijack-by-as4761-indosat-a-quick-report/
outage,outage-20110311-Japan_Earthquake,2011/3/11 9:13,2011/3/11 15:39,,,,,"1,002,669,391,743,250",,https://link.springer.com/content/pdf/10.1007/978-3-642-30054-7_10.pdf
leak,leak-20120223-Australia_Telstra_leak,2012/2/23 2:40,2012/2/23 3:10,,,,,,1221,https://www.bgpmon.net/how-the-internet-in-australia-went-down-under/
hijack,hijack-20140402-Indonesian_Indosat_hijack2014,2014/4/2 18:26,2014/4/2 21:15,,,4761,,,,https://seenthis.net/messages/243546
hijack,hijack-20140909-US_wireless_carrier_Sprint_hijacked_Telesmart,2014/9/9 13:56,2014/9/10 15:56,95.128.184.0/22,95.128.184.0/22,1239,34547,,,https://dyn.com/blog/latest-isps-to-hijack/
hijack,hijack-20140910-AS57807_hijacked_TecleNet_Solucoes_Tecnologicas,2014/9/10 0:30,2014/9/10 11:30,177.200.2.0/23,177.200.2.0/23,57807,52775,,,https://dyn.com/blog/latest-isps-to-hijack/
hijack,hijack-20141114-H3S_median_services_hijacked_Comcast,2014/11/14 23:00,2014/11/15 6:00,73.0.0.0/8,73.41.0.0/16,59790,7922,,,https://dyn.com/blog/vast-world-of-fraudulent-routing/
hijack,hijack-20150107-The_IP_squatters_hijacked_Italian_National_Institute_of_Nuclear_Physics,2015/1/7 9:00,2015/1/7 10:45,"192.135.32.0/23,192.84.128.0/20","192.135.33.0/24,192.84.129.0/24",44050,137,,,https://dyn.com/blog/vast-world-of-fraudulent-routing/
hijack,hijack-20150124-Indonesian_hijacked_Korea_Telecom,2015/1/24 0:00,2015/1/26 20:00,61.80.0.0/14,61.80.160.0/20,24196,4766,,,https://dyn.com/blog/vast-world-of-fraudulent-routing/
leak,leak-20150612-Malaysian_Telecom_leak,2015/6/12 8:43,2015/6/12 11:15,,,,,,4788,https://x.com/bgpmon/status/609322034011582464
hijack,hijack-20151106-India_BHARTI_Airtel_hijack,2015/11/6 5:52,2015/11/6 14:40,,,9498,,,,https://www.bgpmon.net/large-scale-bgp-hijack-out-of-india/
hijack,hijack-20151204-BackConnect_hijacked_VolumeDrive,2015/12/4 19:30,2015/12/6 21:00,172.81.128.0/21,172.81.129.0/24,203959,48884,,,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/ous-bgp-hijacks/
hijack,hijack-20160221-BackConnect_GHOSTnet,2016/2/21 10:00,2016/2/21 16:00,161.123.128.0/17,161.123.185.0/24,203959,12586,,,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
leak,leak-20160422-AWS_Route_Leak,2016/4/22 17:10,2016/4/22 19:10,,,,,,200759,https://www.thousandeyes.com/blog/nanog-68-decoding-performance-data-internet-outages
hijack,hijack-20170426-PJSC_Rostelecom,2017/4/26 22:36,2017/4/26 22:43,,,12389,,,,"	https://www.bgpmon.net/bgpstream-and-the-curious-case-of-as12389/"
leak,leak-20170825-Google_leak,2017/8/25 3:22,2017/8/25 4:02,,,,,,15169,https://www.submarinenetworks.com/zh/cn/analysis-on-google-bgp-routing-leak
leak,leak-20171106-Level_3_leak,2017/11/6 17:47,2017/11/6 19:24,,,,,,3356,https://medium.com/oracledevs/widespread-impact-caused-by-level-3-bgp-route-leak-internet-intelligence-3dbd724d9ac5
hijack,hijack-20171212-DV_LINK_AS39523,2017/12/12 4:43,2017/12/12 4:46,,,39523,,,,https://manrs.org/2017/12/another-bgp-routing-incident-highlights-an-internet-without-checkpoints/
hijack,hijack-20180629-Bitcanal_Jingdong,2018/6/29 13:00,2018/6/29 22:00,101.124.128.0/18,101.124.128.0/18,197426,131486,,,"https://dyn.com/blog/shutting-down-the-bgp-hijack-factory/	"
leak,leak-20181112-Nigeria_MainOne_Cable_leak,2018/11/12 21:12,2018/11/12 22:32,,,,,,37282,https://hothardware.com/news/internet-hijack-takes-down-google-g-suite-analytics-search
leak,leak-20190606-SafeHost_leak,2019/6/6 9:43,unknown,,,,,,21217,https://www.catchpoint.com/blog/bgp-route-leak
leak,leak-20190624-Allegheny_DQE_leak,2019/6/24 10:30,2019/6/24 12:39,,,,,,396531,https://blog.cloudflare.com/how-verizon-and-a-bgp-optimizer-knocked-large-parts-of-the-internet-offline-today/
leak,leak-20200721-Commercial_Conecte_leak,2020/7/21 9:14,2020/7/21 10:37,,,,,,264462,https://www.manrs.org/2020/07/big-route-leak-shows-need-for-routing-security/
outage,outage-20210113-Uganda_election_shutdown,2021/1/13 15:00,2021/1/18 10:00,,,,,,,https://link.springer.com/content/pdf/10.1007/978-3-642-30054-7_10.pdf
leak,leak-20210211-Cablevision_Mexico_leak,2021/2/11 4:36,2021/2/11 4:57,,,,,,28548,https://manrs.org/2021/02/major-route-leak-by-as28548-another-bgp-optimizer/
outage,outage-20211004-Facebook_outage,2021/10/4 15:40,2021/10/4 21:40,,,,,32934,,
outage,outage-20211109-Comcast_outages_1,2021/11/9 5:30,2021/11/9 7:00,,,,,33651,,https://www.kentik.com/blog/the-10-top-network-outages-of-2021/
outage,outage-20211109-Comcast_outages_2,2021/11/9 13:00,2021/11/9 14:00,,,,,33491,,https://x.com/DougMadory/status/1458133562260140034
hijack,hijack-20220215-Nigeria_JSC_Ukraine,2022/2/15 13:30,2022/2/15 23:59,217.117.7.0/24,217.117.7.0/24,15742,16284,,,https://bgpstream.crosswork.cisco.com/event/287011
outage,outage-20220223-UA_ISP_BGP_Outage,2022/2/23 5:00,2022/2/24 3:00,,,,,13188,,https://x.com/gatech_ioda/status/1496710523148144640?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1496710523148144640%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.theverge.com%2F2022%2F2%2F24%2F22949115%2Finternet-disruptions-ukraine-kharkiv-russia
hijack,hijack-20220228-Russia_Ukraine,2022/2/28 17:00,2022/2/28 23:59,85.115.200.0/22,85.115.200.0/22,210512,197726,,,https://manrs.org/2022/03/did-ukraine-suffer-a-bgp-hijack-and-how-can-networks-protect-themselves/
outage,outage-20220313-RU_BGP_outage,2022/3/13 3:54,unknown,,,,,198610,,https://bgpstream.crosswork.cisco.com/event/287909rk-hijacked-twitter-traffic-578000
outage,outage-20220621-Cloudflare_outage,2022/6/21 6:27,2022/6/21 7:42,,,,,13335,,https://blog.cloudflare.com/cloudflare-outage-on-june-21-2022/
leak,leak-20241030-Worldstream_leak,2024/10/30 13:16,2024/10/30 13:40,,,,,,49981,https://network.status-ovhcloud.com/incidents/qgb1ynp8x0c4
