prefix,peer_asn,as_path
200.239.0.0/18,1103,1103 2603 3491 11888
200.239.0.0/18,6453,6453 174 11888
200.239.0.0/18,12859,12859 2914 3491 11888
200.239.0.0/18,15435,15435 174 11888
200.239.0.0/18,50763,50763 8943 3549 3491 11888
200.239.0.0/18,30132,30132 3491 11888
200.239.0.0/18,31019,31019 43531 3491 11888
200.239.0.0/19,6453,6453 3549 3491 11888
200.239.0.0/19,1103,1103 2603 3491 11888
200.239.0.0/19,12859,12859 2914 3491 11888
200.239.0.0/19,15435,15435 286 3491 11888
200.239.0.0/19,31019,31019 43531 3491 11888
200.239.0.0/19,30132,30132 3491 11888
200.239.32.0/19,6453,6453 3549 3491 11888
200.239.32.0/19,1103,1103 2603 3491 11888
200.239.32.0/19,12859,12859 2914 3491 11888
200.239.32.0/19,15435,15435 286 3491 11888
200.239.32.0/19,31019,31019 43531 3491 11888
200.239.32.0/19,30132,30132 3491 11888
0.0.0.0/0,31019,31019 43531 9498
200.239.0.0/18,1103,1103 2603 3491 11888
200.239.0.0/18,6453,6453 174 11888
200.239.0.0/18,12859,12859 2914 3491 11888
200.239.0.0/18,15435,15435 174 11888
200.239.0.0/18,50763,50763 8943 3549 3491 11888
200.239.0.0/18,30132,30132 3491 11888
200.239.0.0/18,31019,31019 43531 3491 11888
