timestamp,prefix,peer_asn,as_path
1503631372,5.206.240.0/21,3333,3333 1103 286 701 15169 21395 57332
1503631372,5.206.248.0/21,3333,3333 1103 286 701 15169 21395 57332
1503631381,5.206.248.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631381,5.206.240.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631436,5.206.240.0/21,29608,29608 5511 701 15169 21395 57332
1503631436,5.206.248.0/21,29608,29608 5511 701 15169 21395 57332
1503631444,5.206.240.0/21,4777,4777 2497 701 15169 21395 57332
1503631444,5.206.248.0/21,4777,4777 2497 701 15169 21395 57332
1503631466,5.206.248.0/21,8758,8758 8220 5511 701 15169 21395 57332
1503631466,5.206.240.0/21,8758,8758 8220 5511 701 15169 21395 57332
1503631897,5.206.240.0/21,3333,3333 1103 286 701 15169 21395 57332
1503631897,5.206.248.0/21,3333,3333 1103 286 701 15169 21395 57332
1503631902,5.206.248.0/21,8758,8758 15576 8220 5511 701 15169 21395 57332
1503631902,5.206.240.0/21,8758,8758 15576 8220 5511 701 15169 21395 57332
1503631903,5.206.240.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631903,5.206.248.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631927,5.206.248.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631927,5.206.240.0/21,3333,3333 1136 286 701 15169 21395 57332
1503631955,5.206.248.0/21,3333,3333 1136 24785 6939 57332
1503631955,5.206.240.0/21,3333,3333 1136 24785 6939 57332
