prefix,peer_asn,as_path
101.124.0.0/16,7018,7018 4134 23724 131486 131486
101.124.0.0/16,1836,1836 174 4134 23724 131486 131486
101.124.0.0/16,15562,15562 2914 4134 23724 131486 131486
101.124.0.0/16,50300,50300 3356 4134 23724 131486 131486
101.124.0.0/16,50304,50304 1299 4134 23724 131486 131486
101.124.0.0/16,64050,64050 2914 4134 23724 131486 131486
101.124.0.0/16,3333,3333 1257 4134 23724 131486 131486
101.124.0.0/16,39351,39351 174 4134 23724 131486 131486
101.124.0.0/16,57381,57381 50304 1299 4134 23724 131486 131486
101.124.0.0/16,57821,57821 12586 3257 4134 23724 131486 131486
101.124.0.0/16,6881,6881 15685 1299 4134 23724 131486 131486
101.124.0.0/16,4777,4777 2516 4134 23724 131486 131486
101.124.0.0/16,4608,4608 1221 4637 4134 23724 131486 131486
101.124.0.0/16,37989,37989 4844 2914 4134 23724 131486 131486
101.124.0.0/16,3549,3549 3356 4134 23724 131486 131486
101.124.0.0/16,8758,8758 6830 4134 23724 131486 131486
101.124.0.0/16,3257,3257 4134 23724 131486 131486
101.124.0.0/16,22652,22652 3356 4134 23724 131486 131486
101.124.0.0/16,29608,29608 3356 4134 23724 131486 131486
101.124.0.0/18,7018,7018 4134 23724 131486 131486
101.124.0.0/18,1836,1836 174 4134 23724 131486 131486
101.124.0.0/18,15562,15562 2914 4134 23724 131486 131486
101.124.0.0/18,50300,50300 3356 4134 23724 131486 131486
101.124.0.0/18,50304,50304 1299 4134 23724 131486 131486
101.124.0.0/18,64050,64050 2914 4134 23724 131486 131486
101.124.0.0/18,3333,3333 1257 4134 23724 131486 131486
101.124.0.0/18,39351,39351 174 4134 23724 131486 131486
101.124.0.0/18,57381,57381 50304 1299 4134 23724 131486 131486
101.124.0.0/18,57821,57821 12586 3257 4134 23724 131486 131486
101.124.0.0/18,6881,6881 15685 1299 4134 23724 131486 131486
101.124.0.0/18,4777,4777 2516 4134 23724 131486 131486
101.124.0.0/18,4608,4608 1221 4637 4134 23724 131486 131486
101.124.0.0/18,37989,37989 4844 2914 4134 23724 131486 131486
101.124.0.0/18,3549,3549 3356 4134 23724 131486 131486
101.124.0.0/18,8758,8758 6830 4134 23724 131486 131486
101.124.0.0/18,3257,3257 4134 23724 131486 131486
101.124.0.0/18,22652,22652 3356 4134 23724 131486 131486
101.124.0.0/18,29608,29608 3356 4134 23724 131486 131486
101.124.64.0/18,7018,7018 4134 4812 4811 131486
101.124.64.0/18,1836,1836 174 4134 4812 4811 131486
101.124.64.0/18,15562,15562 2914 4134 4812 4811 131486
101.124.64.0/18,50300,50300 3356 4134 4812 4811 131486
101.124.64.0/18,50304,50304 1299 4134 4812 4811 131486
101.124.64.0/18,64050,64050 2914 4134 4812 4811 131486
101.124.64.0/18,3333,3333 1257 4134 4812 4811 131486
101.124.64.0/18,39351,39351 174 4134 4812 4811 131486
101.124.64.0/18,57381,57381 50304 1299 4134 4812 4811 131486
101.124.64.0/18,57821,57821 12586 3257 4134 4812 4811 131486
101.124.64.0/18,6881,6881 25512 1299 4134 4812 4811 131486
101.124.64.0/18,4777,4777 2516 4134 4812 4811 131486
101.124.64.0/18,4608,4608 1221 4637 4134 4812 4811 131486
101.124.64.0/18,37989,37989 4844 2914 4134 4812 4811 131486
101.124.64.0/18,3549,3549 3356 4134 4812 4811 131486
101.124.64.0/18,8758,8758 6830 4134 4812 4811 131486
101.124.64.0/18,3257,3257 4134 4812 4811 131486
101.124.64.0/18,22652,22652 3356 4134 4812 4811 131486
101.124.64.0/18,29608,29608 3356 4134 4812 4811 131486
101.124.192.0/18,7018,7018 4134 23724
101.124.192.0/18,1836,1836 174 4134 23724
101.124.192.0/18,15562,15562 2914 4134 23724
101.124.192.0/18,50300,50300 3356 4134 23724
101.124.192.0/18,50304,50304 1299 4134 23724
101.124.192.0/18,64050,64050 2914 4134 23724
101.124.192.0/18,3333,3333 1257 4134 23724
101.124.192.0/18,39351,39351 174 4134 23724
101.124.192.0/18,57381,57381 50304 1299 4134 23724
101.124.192.0/18,57821,57821 12586 3257 4134 23724
101.124.192.0/18,6881,6881 29208 1299 4134 23724
101.124.192.0/18,4777,4777 2516 4837 4808
101.124.192.0/18,4608,4608 1221 4637 4134 23724
101.124.192.0/18,37989,37989 4844 2914 4837 4808
101.124.192.0/18,3549,3549 3356 4134 23724
101.124.192.0/18,8758,8758 6830 4134 23724
101.124.192.0/18,3257,3257 4134 23724
101.124.192.0/18,22652,22652 3356 4134 23724
101.124.192.0/18,29608,29608 3356 4134 23724
