prefix,peer_asn,as_path
0.0.0.0/0,205206,205206 1299
0.0.0.0/0,6233,6233 1299
0.0.0.0/0,50673,50673 6830
0.0.0.0/0,34019,34019 35280
0.0.0.0/0,3214,3214 1299
0.0.0.0/0,35598,35598
44.224.0.0/11,1103,1103 3257 16509
44.224.0.0/11,12859,12859 2914 16509
44.224.0.0/11,50629,50629 2914 16509
44.224.0.0/11,205206,205206 1299 16509
44.224.0.0/11,3320,3320 16509
44.224.0.0/11,59605,59605 1299 16509
44.224.0.0/11,6233,6233 1299 16509
44.224.0.0/11,39351,39351 1299 16509
44.224.0.0/11,206313,206313 3320 16509
44.224.0.0/11,15435,15435 174 16509
44.224.0.0/11,25160,25160 174 16509
44.224.0.0/11,47147,47147 1299 16509
44.224.0.0/11,60501,60501 7224 16509
44.224.0.0/11,51088,51088 3257 16509
44.224.0.0/11,8888,8888 1299 16509
44.224.0.0/11,210312,210312 8298 51088 3257 16509
44.224.0.0/11,30132,30132 1299 16509
44.224.0.0/11,50673,50673 174 16509
44.224.0.0/11,34019,34019 35280 16509
44.224.0.0/11,24482,24482 16509
44.224.0.0/11,51185,51185 174 16509
44.224.0.0/11,6908,6908 2914 16509
44.224.0.0/11,3214,3214 1299 16509
44.224.0.0/11,199938,199938 1299 16509
44.224.0.0/11,209650,209650 34927 174 16509
44.224.0.0/11,42541,42541 1299 16509
44.224.0.0/11,1140,1140 24785 5511 16509
44.224.0.0/11,8218,8218 6461 16509
44.224.0.0/11,50763,50763 8943 2914 16509
44.224.0.0/11,35598,35598 3216 16509
44.224.0.0/11,6830,6830 1299 16509
44.224.0.0/11,6453,6453 16509
44.224.0.0/11,8283,8283 1299 16509
44.224.0.0/11,14907,14907 3320 16509
44.224.0.0/11,29467,29467 35280 16509
44.224.0.0/11,8455,8455 1299 16509
