prefix,peer_asn,as_path
197.214.32.0/22,1103,1103 16637 37531
197.214.32.0/22,12859,12859 6939 16637 37531
197.214.32.0/22,50629,50629 6939 16637 37531
197.214.32.0/22,205206,205206 6939 16637 37531
197.214.32.0/22,12956,12956 6939 16637 37531
197.214.32.0/22,3320,3320 6939 16637 37531
197.214.32.0/22,8529,8529 6939 16637 37531
197.214.32.0/22,39351,39351 6939 16637 37531
197.214.32.0/22,25160,25160 174 16637 37531
197.214.32.0/22,47147,47147 9002 16637 37531
197.214.32.0/22,51088,51088 2914 327708 37531
197.214.32.0/22,34019,34019 6939 16637 37531
197.214.32.0/22,24482,24482 16637 37531
197.214.32.0/22,51185,51185 6762 3356 16637 37531
197.214.32.0/22,6461,6461 6939 16637 37531
197.214.32.0/22,3214,3214 6939 16637 37531
197.214.32.0/22,199938,199938 6939 16637 37531
197.214.32.0/22,6777,16637 37531
197.214.32.0/22,42541,42541 6939 16637 37531
197.214.32.0/22,1140,1140 6939 16637 37531
197.214.32.0/22,49544,49544 16637 37531
197.214.32.0/22,8218,8218 6939 16637 37531
197.214.32.0/22,50763,50763 16637 37531
197.214.32.0/22,6830,6830 6939 16637 37531
197.214.32.0/22,6939,6939 16637 37531
197.214.32.0/22,6453,6453 174 16637 37531
197.214.32.0/22,199524,199524 174 16637 37531
197.214.32.0/22,8283,8283 6939 16637 37531
197.214.32.0/22,14907,14907 6939 16637 37531
197.214.32.0/22,8455,8455 16637 37531
197.214.32.0/22,48185,48185 16637 37531
197.214.32.0/22,37721,37721 36873 37531
197.214.32.0/22,15562,15562 2914 3356 16637 37531
197.214.32.0/22,15562,15562 2914 327708 37531
197.214.32.0/22,37721,37721 37613 36873 37531
197.214.32.0/22,20514,20514 1299 6939 16637 37531
197.214.32.0/22,328840,328840 327727 37613 36873 37531
197.214.32.0/22,37721,37721 6939 16637 37531
197.214.32.0/22,37721,37721 16637 37531
197.214.32.0/22,48185,48185 6939 16637 37531
197.214.32.0/22,20205,20205 6939 16637 37531
197.214.32.0/22,7018,7018 6939 16637 37531
197.214.32.0/22,3549,3549 3356 174 16637 37531
197.214.32.0/22,29504,29504 6939 16637 37531
197.214.32.0/22,29504,29504 15935 6939 16637 37531
197.214.32.0/22,57821,57821 12586 3257 3356 16637 37531
197.214.32.0/22,34800,34800 58057 6939 16637 37531
197.214.32.0/22,34800,34800 58057 50673 174 16637 37531
197.214.32.0/22,58057,58057 34549 6939 16637 37531
197.214.32.0/22,59919,59919 6939 16637 37531
197.214.32.0/22,59919,59919 9002 16637 37531
197.214.32.0/22,34854,34854 6939 16637 37531
197.214.32.0/22,34854,34854 3257 3356 16637 37531
197.214.32.0/22,206499,206499 34549 6939 16637 37531
197.214.32.0/22,206499,206499 34549 174 16637 37531
197.214.32.0/22,44393,44393 58057 6939 16637 37531
197.214.32.0/22,44393,44393 64073 6939 16637 37531
197.214.32.0/22,34549,34549 2914 3356 16637 37531
197.214.32.0/22,34549,34549 174 16637 37531
197.214.32.0/22,216285,216285 8280 6762 6939 16637 37531
197.214.32.0/22,204092,204092 30781 6939 16637 37531
197.214.32.0/22,49673,49673 6939 16637 37531
197.214.32.0/22,38855,38855 6939 16637 37531
197.214.32.0/22,132213,6939 16637 37531
197.214.32.0/22,13830,13830 971 174 16637 37531
197.214.32.0/22,61218,61218 6939 3356 16637 37531
197.214.32.0/22,29504,29504 39392 33891 16637 37531
197.214.32.0/22,29504,29504 15935 9002 16637 37531
197.214.32.0/22,49432,49432 48362 1764 6939 16637 37531
197.214.32.0/22,49432,49432 48362 9002 16637 37531
197.214.32.0/22,34927,34927 52025 6939 16637 37531
197.214.32.0/22,58057,58057 34549 174 16637 37531
197.214.32.0/22,48185,48185 3356 6939 16637 37531
197.214.32.0/22,48185,48185 3356 16637 37531
197.214.32.0/22,1403,1403 174 16637 37531
197.214.32.0/22,24482,24482 6939 16637 37531
197.214.32.0/22,14907,14907 2914 3356 16637 37531
197.214.32.0/22,20205,20205 174 16637 37531
197.214.32.0/22,3333,3333 1103 16637 37531
197.214.32.0/22,3333,3333 1257 3356 16637 37531
197.214.32.0/22,17639,17639 9002 16637 37531
197.214.32.0/22,57381,57381 42708 6939 16637 37531
197.214.32.0/22,57381,57381 50304 6939 16637 37531
197.214.32.0/22,22652,22652 6939 16637 37531
197.214.32.0/22,44393,44393 394256 6939 16637 37531
197.214.32.0/22,29504,29504 15935 174 16637 37531
197.214.32.0/22,1403,1403 6939 16637 37531
197.214.32.0/22,14907,14907 1299 3356 16637 37531
197.214.32.0/22,7018,7018 174 16637 37531
197.214.32.0/22,216285,216285 8280 6762 3356 16637 37531
197.214.32.0/22,34927,34927 6939 16637 37531
197.214.32.0/22,213241,213241 9002 16637 37531
197.214.32.0/22,34927,34927 56655 1299 174 16637 37531
197.214.32.0/22,328840,328840 327727 174 16637 37531
197.214.32.0/22,852,852 174 16637 37531
197.214.32.0/22,37721,37721 174 16637 37531
197.214.32.0/22,37721,37721 3356 16637 37531
197.214.32.0/22,58057,58057 1836 3356 16637 37531
197.214.32.0/22,48185,48185 3356 174 16637 37531
197.214.32.0/22,4608,4608 7575 3356 16637 37531
197.214.32.0/22,20514,20514 1299 174 16637 37531
197.214.32.0/22,34927,34927 52025 32097 6939 16637 37531
197.214.32.0/22,13830,13830 971 174 24691 6939 16637 37531
