timestamp,prefix,peer_asn,as_path
1460790260,161.123.172.0/24,1836,1836 3356 2914 3223 203959 27176
1460790260,161.123.172.0/24,1836,1836 13030 2914 3223 203959 27176
1460790260,161.123.172.0/24,8758,8758 8220 203959 27176
1460790260,161.123.172.0/24,7018,7018 2914 3223 203959 27176
1460790264,161.123.172.0/24,3257,3257 2914 3223 203959 27176
1460790265,161.123.172.0/24,1836,1836 13030 3223 203959 27176
1460790266,161.123.172.0/24,29608,29608 3356 2914 3223 203959 27176
1460790268,161.123.172.0/24,50300,50300 203959 27176
1460790270,161.123.172.0/24,50304,50304 203959 27176
1460790276,161.123.172.0/24,4777,4777 2497 2914 3223 203959 27176
1460790279,161.123.172.0/24,4608,4608 24130 7545 6939 203959 27176
1460790282,161.123.172.0/24,22652,22652 3223 203959 27176
1460790289,161.123.172.0/24,3549,3549 3356 1299 3223 203959 27176
1460790297,161.123.172.0/24,29608,29608 3356 2914 3223 203959 27176
1460790260,161.123.172.0/24,1836,1836 3356 2914 3223 203959 27176
1460790260,161.123.172.0/24,1836,1836 13030 2914 3223 203959 27176
1460790260,161.123.172.0/24,8758,8758 8220 203959 27176
1460790260,161.123.172.0/24,7018,7018 2914 3223 203959 27176
1460790264,161.123.172.0/24,3257,3257 2914 3223 203959 27176
1460790265,161.123.172.0/24,1836,1836 13030 3223 203959 27176
1460790266,161.123.172.0/24,29608,29608 3356 2914 3223 203959 27176
1460790268,161.123.172.0/24,50300,50300 203959 27176
1460790270,161.123.172.0/24,50304,50304 203959 27176
1460790276,161.123.172.0/24,4777,4777 2497 2914 3223 203959 27176
1460790279,161.123.172.0/24,4608,4608 24130 7545 6939 203959 27176
1460790282,161.123.172.0/24,22652,22652 3223 203959 27176
1460790289,161.123.172.0/24,3549,3549 3356 1299 3223 203959 27176
1460790297,161.123.172.0/24,29608,29608 3356 2914 3223 203959 27176
1460790301,161.123.172.0/24,57381,57381 42708 203959 27176
1460790310,161.123.172.0/24,4608,4608 1221 4637 6762 3223 203959 27176
1460790301,161.123.172.0/24,57381,57381 42708 203959 27176
