prefix,peer_asn,as_path
161.123.172.0/24,57821,57821 12586
0.0.0.0/0,8758,8758 6830
161.123.128.0/17,29608,29608 3356 3257 12586
161.123.128.0/17,57821,57821 12586
161.123.128.0/17,4777,4777 2497 3320 12586
161.123.128.0/17,50304,50304 42708 31025 12586
161.123.128.0/17,22652,22652 3257 12586
161.123.128.0/17,57381,57381 42708 31025 12586
161.123.128.0/17,1836,1836 13030 31025 12586
161.123.128.0/17,3549,3549 3257 12586
161.123.128.0/17,37989,37989 4844 7473 3320 12586
161.123.128.0/17,4608,4608 1221 4637 3320 12586
161.123.128.0/17,7018,7018 3320 12586
161.123.128.0/17,8758,8758 8220 31025 12586
161.123.128.0/17,50300,50300 2914 3257 12586
161.123.128.0/17,3257,3257 12586
